STATION,NAME,DATE,TMAX,TMIN
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/13/2000,85,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/14/2000,78,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/15/2000,70,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/16/2000,81,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/17/2000,83,62
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/18/2000,89,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/19/2000,67,59
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/20/2000,78,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/21/2000,83,55
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/22/2000,80,60
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/23/2000,80,55
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/24/2000,77,61
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/25/2000,77,62
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/26/2000,68,62
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/27/2000,67,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/28/2000,78,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/29/2000,75,66
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/30/2000,74,67
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",7/31/2000,78,66
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/1/2000,76,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/2/2000,86,69
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/3/2000,82,68
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/4/2000,80,66
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/5/2000,81,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/6/2000,75,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/7/2000,90,73
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/8/2000,89,72
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/9/2000,88,71
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/10/2000,84,67
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/11/2000,81,65
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/12/2000,69,61
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/13/2000,71,61
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/14/2000,71,61
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/15/2000,81,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/16/2000,83,62
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/17/2000,75,60
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/18/2000,65,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/19/2000,77,54
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/20/2000,73,54
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/21/2000,75,48
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/22/2000,78,52
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/23/2000,73,59
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/24/2000,82,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/25/2000,82,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/26/2000,84,56
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/27/2000,84,60
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/28/2000,78,67
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/29/2000,78,66
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/30/2000,81,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",8/31/2000,84,68
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/1/2000,84,72
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/2/2000,84,72
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/3/2000,84,71
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/4/2000,84,59
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/5/2000,67,49
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/6/2000,69,45
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/7/2000,72,47
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/8/2000,76,49
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/9/2000,86,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/10/2000,81,64
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/11/2000,78,60
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/12/2000,82,68
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/13/2000,79,58
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/14/2000,77,54
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/15/2000,74,56
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/16/2000,65,48
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/17/2000,70,45
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/18/2000,74,52
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/19/2000,71,57
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/20/2000,83,63
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/21/2000,75,54
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/22/2000,69,49
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/23/2000,65,49
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/24/2000,74,54
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/25/2000,62,47
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/26/2000,52,43
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/27/2000,69,39
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/28/2000,67,43
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/29/2000,60,37
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",9/30/2000,66,37
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/1/2000,71,42
USW00054743,"CALDWELL ESSEX CO AIRPORT, NJ US",10/2/2000,73,51
